"","x","y","n","xs","ys"
"1",0.4,0.29,1,3,2.5
"2",0.4,0.87,2,3,6.5
"3",0.4,1.95,3,3,15
"4",0.4,2.53,4,3,18.5
"5",1.2,0.29,5,9.5,2.5
"6",1.2,0.87,6,9.5,6.5
"7",1.2,1.95,7,9.5,15
"8",1.2,2.53,8,9.5,18.5
"9",2,0.29,9,16.5,2.5
"10",2,0.87,10,16.5,6.5
"11",2,1.95,11,16.5,15
"12",2,2.53,12,16.5,18.5
"13",2.8,0.29,13,23,2.5
"14",2.8,0.87,14,23,6.5
"15",2.8,1.95,15,23,15
"16",2.8,2.53,16,23,18.5
"17",3.6,0.29,17,29.5,2.5
"18",3.6,0.87,18,29.5,6.5
"19",3.6,1.95,19,29.5,15
"20",3.6,2.53,20,29.5,18.5
"21",5.42,0.29,21,38.5,2.5
"22",5.42,0.87,22,38.5,6.5
"23",5.42,1.95,23,38.5,15
"24",5.42,2.53,24,38.5,18.5
"25",6.236,0.29,25,44.5,2.5
"26",6.236,0.87,26,44.5,6.5
"27",6.236,1.95,27,44.5,15
"28",6.236,2.53,28,44.5,18.5
"29",7.036,0.29,29,50.8,2.5
"30",7.036,0.87,30,50.8,6.5
"31",7.036,1.95,31,50.8,15
"32",7.036,2.53,32,50.8,18.5
"33",8.856,0.29,33,60,2.5
"34",8.856,0.87,34,60,6.5
"35",8.856,1.95,35,60,15
"36",8.856,2.53,36,60,18.5
"37",9.672,0.29,37,66,2.5
"38",9.672,0.87,38,66,6.5
"39",9.672,1.95,39,66,15
"40",9.672,2.53,40,66,18.5
"41",11.492,0.29,41,75.5,2.5
"42",11.492,0.87,42,75.5,6.5
"43",11.492,1.95,43,75.5,15
"44",11.492,2.53,44,75.5,18.5
"45",12.308,0.29,45,81.5,2.5
"46",12.308,0.87,46,81.5,6.5
"47",12.308,1.95,47,81.5,15
"48",12.308,2.53,48,81.5,18.5
"49",14.128,0.29,49,91,2.5
"50",14.128,0.87,50,91,6.5
"51",14.128,1.95,51,91,15
"52",14.128,2.53,52,91,18.5
"53",14.928,0.29,53,97.5,2.5
"54",14.928,0.87,54,97.5,6.5
"55",14.928,1.95,55,97.5,15
"56",14.928,2.53,56,97.5,18.5
"57",15.728,0.29,57,104,2.5
"58",15.728,0.87,58,104,6.5
"59",15.728,1.95,59,104,15
"60",15.728,2.53,60,104,18.5
"61",16.528,0.29,61,111.5,2.5
"62",16.528,0.87,62,111.5,6.5
"63",16.528,1.95,63,111.5,15
"64",16.528,2.53,64,111.5,18.5
"65",17.328,0.29,65,118,2.5
"66",17.328,0.87,66,118,6.5
"67",17.328,1.95,67,118,15
"68",17.328,2.53,68,118,18.5
"69",18.144,0.29,69,124,2.5
"70",18.144,0.87,70,124,6.5
"71",18.144,1.95,71,124,15
"72",18.144,2.53,72,124,18.5
"73",19.964,0.29,73,133,2.5
"74",19.964,0.87,74,133,6.5
"75",19.964,1.95,75,133,15
"76",19.964,2.53,76,133,18.5
